standard_name,fbref,fbduk,oddsportal
Plymouth Argyle,Plymouth Argyle,Plymouth,Plymouth
Port Vale,Port Vale,Port Vale,Port Vale
Portsmouth,Portsmouth,Portsmouth,Portsmouth
Preston,Preston,Preston,Preston
Preußen Münster,Preußen Münster,Preußen Münster,Preussen Munster
QPR,QPR,QPR,QPR
RB Leipzig,RB Leipzig,RB Leipzig,RB Leipzig
Rayo Vallecano,Rayo Vallecano,Vallecano,Rayo Vallecano
Reading,Reading,Reading,Reading
Real Madrid,Real Madrid,Real Madrid,Real Madrid
Red Star,Red Star,Red Star,Red Star
Regensburg,Jahn R'burg,Regensburg,Regensburg
Reggiana,Reggiana,Reggiana,Reggiana
Reims,Reims,Reims,Reims
Rennes,Rennes,Rennes,Rennes
Rochdale,Rochdale,Rochdale,Rochdale
Rodez,Rodez Aveyron,Rodez,Rodez
Roma,Roma,Roma,AS Roma
Rotherham Utd,Rotherham Utd,Rotherham,Rotherham
Saint-Étienne,Saint-Étienne,St Etienne,St Etienne
Salernitana,Salernitana,Salernitana,Salernitana
Salford,Salford City,Salford,Salford
Sampdoria,Sampdoria,Sampdoria,Sampdoria
Santander,Racing Sant,Santander,Racing Santander
Sassuolo,Sassuolo,Sassuolo,Sassuolo
Schalke 04,Schalke 04,Schalke 04,Schalke
Sevilla,Sevilla,Sevilla,Sevilla
Sheffield Utd,Sheffield Utd,Sheffield United,Sheffield Utd
Sheffield Weds,Sheffield Weds,Sheffield Weds,Sheffield Wed
Shrewsbury,Shrewsbury,Shrewsbury,Shrewsbury
Sociedad,Real Sociedad,Sociedad,Real Sociedad
Solihull Moors,Solihull Moors,Solihull,Solihull Moors
Southampton,Southampton,Southampton,Southampton
Southend United,Southend United,Southend,Southend
Spezia,Spezia,Spezia,Spezia
St. Pauli,St. Pauli,St Pauli,St. Pauli
Stevenage,Stevenage,Stevenage,Stevenage
Stockport County,Stockport,Stockport,Stockport County
Stoke,Stoke City,Stoke,Stoke
Strasbourg,Strasbourg,Strasbourg,Strasbourg
Stuttgart,Stuttgart,Stuttgart,Stuttgart
Sudtirol,Südtirol,Sudtirol,Sudtirol
Sunderland,Sunderland,Sunderland,Sunderland
Sutton,Sutton United,Sutton,Sutton
Swansea,Swansea City,Swansea,Swansea
Swindon,Swindon Town,Swindon,Swindon
Tamworth,Tamworth,Tamworth,Tamworth
Tenerife,Tenerife,Tenerife,Tenerife
Torino,Torino,Torino,Torino
Tottenham,Tottenham,Tottenham,Tottenham
Toulouse,Toulouse,Toulouse,Toulouse
Tranmere Rovers,Tranmere Rovers,Tranmere,Tranmere
Troyes,Troyes,Troyes,Troyes
Udinese,Udinese,Udinese,Udinese
Ulm,Ulm,Ulm,Ulm
Union Berlin,Union Berlin,Union Berlin,Union Berlin
Valencia,Valencia,Valencia,Valencia
Valladolid,Valladolid,Valladolid,Valladolid
Venezia,Venezia,Venezia,Venezia
Verona,Hellas Verona,Verona,Verona
Villarreal,Villarreal,Villarreal,Villarreal
Walsall,Walsall,Walsall,Walsall
Watford,Watford,Watford,Watford
Wealdstone,Wealdstone,Wealdstone,Wealdstone
Werder Bremen,Werder Bremen,Werder Bremen,Werder Bremen
West Brom,West Brom,West Brom,West Brom
West Ham,West Ham,West Ham,West Ham
Wigan,Wigan Athletic,Wigan,Wigan
Woking,Woking,Woking,Woking
Wolfsburg,Wolfsburg,Wolfsburg,Wolfsburg
Wolves,Wolves,Wolves,Wolves
Wrexham,Wrexham,Wrexham,Wrexham
Wycombe,Wycombe,Wycombe,Wycombe
Yeovil,Yeovil Town,Yeovil,Yeovil
York City,York City,York,York City
Zaragoza,Zaragoza,Zaragoza,Zaragoza
Ajaccio,Ajaccio,Ajaccio,AC Ajaccio
Laval,Stade Laval,Laval,Laval
